                                     | Core 0     | Core 1    
  Instructions                       |     374011 |     369081
  Cycles                             |     687557 |     687557
  IPC                                |       0.54 |       0.54
  Time (ns)                          |     258480 |     258480
  Idle time (ns)                     |      97357 |      99038
  Idle time (%)                      |      37.7% |      38.3%
Branch predictor stats               |            |           
  num correct                        |      44568 |      43748
  num incorrect                      |        108 |        108
  misprediction rate                 |      0.24% |      0.25%
  mpki                               |       0.29 |       0.29
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      11016 |      11021
    num cache misses                 |         14 |         16
    miss rate                        |      0.13% |      0.15%
    mpki                             |       0.04 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     217035 |     214573
    num cache misses                 |       1574 |       1454
    miss rate                        |      0.73% |      0.68%
    mpki                             |       4.21 |       3.94
  Cache L2                           |            |           
    num cache accesses               |       1590 |       1593
    num cache misses                 |         15 |         14
    miss rate                        |      0.94% |      0.88%
    mpki                             |       0.04 |       0.04
  Cache L3                           |            |           
    num cache accesses               |         16 |         17
    num cache misses                 |         15 |         14
    miss rate                        |     93.75% |     82.35%
    mpki                             |       0.04 |       0.04
DRAM summary                         |            |           
  num dram accesses                  |         28 |          0
  average dram access latency (ns)   |      89.60 |        inf
  average dram queueing delay        |      36.17 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
