                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   20860362 |    9843381 |   22476996 |   11487033 |   21769311 |   20441965 |   20152627 |   16524034
  Cycles                             |   27832204 |   27832204 |   27832204 |   27832204 |   27832204 |   27832204 |   27832204 |   27832204
  IPC                                |       0.75 |       0.35 |       0.81 |       0.41 |       0.78 |       0.73 |       0.72 |       0.59
  Time (ns)                          |   10463235 |   10463235 |   10463235 |   10463235 |   10463235 |   10463235 |   10463235 |   10463235
  Idle time (ns)                     |     806526 |    5532732 |     100212 |    4822237 |     522515 |    1070820 |    1202011 |    2720752
  Idle time (%)                      |       7.7% |      52.9% |       1.0% |      46.1% |       5.0% |      10.2% |      11.5% |      26.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    3354014 |    1517852 |    3623454 |    1791794 |    3505502 |    3284282 |    3236069 |    2631277
  num incorrect                      |         55 |         54 |         58 |         54 |         59 |         59 |         49 |         69
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      11018 |      11021 |      11010 |      11021 |      11021 |      11012 |      11012 |      11019
    num cache misses                 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         17
    miss rate                        |      0.15% |      0.15% |      0.14% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10685216 |    5176723 |   11493541 |    5998549 |   11139688 |   10476026 |   10331357 |    8517049
    num cache misses                 |      84371 |      37467 |      90118 |      44619 |      85283 |      81740 |      80308 |      65528
    miss rate                        |      0.79% |      0.72% |      0.78% |      0.74% |      0.77% |      0.78% |      0.78% |      0.77%
    mpki                             |       4.04 |       3.81 |       4.01 |       3.88 |       3.92 |       4.00 |       3.98 |       3.97
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      84392 |      37488 |      90136 |      44640 |      85311 |      81775 |      80335 |      65567
    num cache misses                 |      52678 |      21336 |      58799 |      25434 |      44320 |      40867 |      40441 |      32581
    miss rate                        |     62.42% |     56.91% |     65.23% |     56.98% |     51.95% |     49.97% |     50.34% |     49.69%
    mpki                             |       2.53 |       2.17 |       2.62 |       2.21 |       2.04 |       2.00 |       2.01 |       1.97
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      52679 |      21338 |      58801 |      25436 |      44329 |      40879 |      40451 |      32598
    num cache misses                 |          8 |          5 |          3 |          4 |          3 |          9 |          3 |         13
    miss rate                        |      0.02% |      0.02% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01% |      0.04%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     110.21 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      56.78 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          2 |          2 |          2 |          5 |          2 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
