                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2595225 |    2271958 |    2598272 |    2721388 |    2842477 |    2709376 |    1976644 |    2386988 |    2730400 |    2479144 |    2587252 |    1820463 |    2610212 |    2733400 |    2364034 |    2692360
  Cycles                             |    3801179 |    3801179 |    3801179 |    3801179 |    3801179 |    3801179 |    3801179 |    3801179 |    3801179 |    3801179 |    3801179 |    3801179 |    3801179 |    3801179 |    3801179 |    3801179
  IPC                                |       0.68 |       0.60 |       0.68 |       0.72 |       0.75 |       0.71 |       0.52 |       0.63 |       0.72 |       0.65 |       0.68 |       0.48 |       0.69 |       0.72 |       0.62 |       0.71
  Time (ns)                          |    1429015 |    1429015 |    1429015 |    1429015 |    1429015 |    1429015 |    1429015 |    1429015 |    1429015 |    1429015 |    1429015 |    1429015 |    1429015 |    1429015 |    1429015 |    1429015
  Idle time (ns)                     |     209616 |     358214 |     207868 |     153062 |     102679 |     154755 |     497827 |     303196 |     121888 |     239320 |     190474 |     552053 |     176362 |     120209 |     293494 |     143171
  Idle time (%)                      |      14.7% |      25.1% |      14.5% |      10.7% |       7.2% |      10.8% |      34.8% |      21.2% |       8.5% |      16.7% |      13.3% |      38.6% |      12.3% |       8.4% |      20.5% |      10.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     414768 |     360884 |     415272 |     435792 |     456001 |     433790 |     311668 |     380068 |     437294 |     395418 |     413436 |     285654 |     417272 |     437794 |     376233 |     430954
  num incorrect                      |        111 |        115 |        115 |        115 |         91 |        115 |        115 |        110 |        115 |        115 |        115 |        103 |        110 |        115 |        115 |        115
  misprediction rate                 |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03%
  mpki                               |       0.04 |       0.05 |       0.04 |       0.04 |       0.03 |       0.04 |       0.06 |       0.05 |       0.04 |       0.05 |       0.04 |       0.06 |       0.04 |       0.04 |       0.05 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11018 |      11021 |      11021 |      11021 |      11010 |      11021 |      11021 |      11012 |      11021 |      11021 |      11021 |      11012 |      11012 |      11021 |      11021 |      11021
    num cache misses                 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15% |      0.14% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1327643 |    1166002 |    1329166 |    1390726 |    1451281 |    1384720 |    1018354 |    1223537 |    1395232 |    1269604 |    1323658 |     940274 |    1335149 |    1396732 |    1212049 |    1376212
    num cache misses                 |      12278 |      10765 |      12314 |      12832 |      13126 |      12844 |       9437 |      11386 |      13113 |      11974 |      12480 |       8853 |      12602 |      13169 |      11462 |      12925
    miss rate                        |      0.92% |      0.92% |      0.93% |      0.92% |      0.90% |      0.93% |      0.93% |      0.93% |      0.94% |      0.94% |      0.94% |      0.94% |      0.94% |      0.94% |      0.95% |      0.94%
    mpki                             |       4.73 |       4.74 |       4.74 |       4.72 |       4.62 |       4.74 |       4.77 |       4.77 |       4.80 |       4.83 |       4.82 |       4.86 |       4.83 |       4.82 |       4.85 |       4.80
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12394 |      10892 |      12439 |      12941 |      13225 |      12969 |       9547 |      11513 |      13245 |      12085 |      12609 |       8972 |      12727 |      13280 |      11587 |      13031
    num cache misses                 |      12294 |      10781 |      12330 |      12848 |      13141 |      12860 |       9453 |      11402 |      13129 |      11990 |      12496 |       8869 |      12618 |      13185 |      11478 |      12941
    miss rate                        |     99.19% |     98.98% |     99.12% |     99.28% |     99.36% |     99.16% |     99.02% |     99.04% |     99.12% |     99.21% |     99.10% |     98.85% |     99.14% |     99.28% |     99.06% |     99.31%
    mpki                             |       4.74 |       4.75 |       4.75 |       4.72 |       4.62 |       4.75 |       4.78 |       4.78 |       4.81 |       4.84 |       4.83 |       4.87 |       4.83 |       4.82 |       4.86 |       4.81
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12394 |      10892 |      12439 |      12941 |      13225 |      12969 |       9547 |      11513 |      13245 |      12085 |      12609 |       8972 |      12727 |      13280 |      11587 |      13031
    num cache misses                 |       6583 |       5712 |       6653 |       6993 |       7298 |       6971 |       5092 |       6079 |       6917 |       6324 |       6639 |       4767 |       6647 |       6918 |       6246 |       6923
    miss rate                        |     53.11% |     52.44% |     53.49% |     54.04% |     55.18% |     53.75% |     53.34% |     52.80% |     52.22% |     52.33% |     52.65% |     53.13% |     52.23% |     52.09% |     53.91% |     53.13%
    mpki                             |       2.54 |       2.51 |       2.56 |       2.57 |       2.57 |       2.57 |       2.58 |       2.55 |       2.53 |       2.55 |       2.57 |       2.62 |       2.55 |       2.53 |       2.64 |       2.57
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         71 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     158.68 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     105.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          3 |          2 |          4 |          2 |          2 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2845 |       2510 |       2843 |       3032 |       3055 |       3060 |       2153 |       2640 |       3122 |       2850 |       2939 |       2041 |       2986 |       3100 |       2688 |       3054
