                                     | Core 0    
  Instructions                       |    1353039
  Cycles                             |    3715280
  IPC                                |       0.36
  Time (ns)                          |    1396722
  Idle time (ns)                     |      95522
  Idle time (%)                      |       6.8%
Branch predictor stats               |           
  num correct                        |     103005
  num incorrect                      |          9
  misprediction rate                 |      0.01%
  mpki                               |       0.01
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     210016
    num cache misses                 |         13
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |     932049
    num cache misses                 |          9
    miss rate                        |      0.00%
    mpki                             |       0.01
  Cache L2                           |           
    num cache accesses               |         24
    num cache misses                 |         22
    miss rate                        |     91.67%
    mpki                             |       0.02
  Cache L3                           |           
    num cache accesses               |         24
    num cache misses                 |         22
    miss rate                        |     91.67%
    mpki                             |       0.02
DRAM summary                         |           
  num dram accesses                  |         22
  average dram access latency (ns)   |     112.05
  average dram queueing delay        |      58.62
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
