                                     | Core 0     | Core 1    
  Instructions                       |    9608995 |    9612887
  Cycles                             |    7035615 |    7035615
  IPC                                |       1.37 |       1.37
  Time (ns)                          |    2644968 |    2644968
  Idle time (ns)                     |      97235 |      96517
  Idle time (%)                      |       3.7% |       3.6%
Branch predictor stats               |            |           
  num correct                        |    1754074 |    1754849
  num incorrect                      |        133 |        135
  misprediction rate                 |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     210020 |     210018
    num cache misses                 |         15 |         15
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    5885620 |    5887954
    num cache misses                 |       2312 |       2367
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.24 |       0.25
  Cache L2                           |            |           
    num cache accesses               |       2385 |       2384
    num cache misses                 |         23 |          5
    miss rate                        |      0.96% |      0.21%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         25 |          7
    num cache misses                 |         23 |          5
    miss rate                        |     92.00% |     71.43%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         28 |          0
  average dram access latency (ns)   |     118.85 |        inf
  average dram queueing delay        |      65.42 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
