                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     229999 |     260037 |     236122 |     248036
  Cycles                             |     373305 |     373305 |     373305 |     373305
  IPC                                |       0.62 |       0.70 |       0.63 |       0.66
  Time (ns)                          |     140340 |     140340 |     140340 |     140340
  Idle time (ns)                     |     103156 |      98977 |     101873 |     100252
  Idle time (%)                      |      73.5% |      70.5% |      72.6% |      71.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      36720 |      42749 |      37935 |      40316
  num incorrect                      |         87 |         72 |         89 |         93
  misprediction rate                 |      0.24% |      0.17% |      0.23% |      0.23%
  mpki                               |       0.38 |       0.28 |       0.38 |       0.37
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      12020 |      12010 |      12027 |      12027
    num cache misses                 |         15 |         14 |         16 |         16
    miss rate                        |      0.12% |      0.12% |      0.13% |      0.13%
    mpki                             |       0.07 |       0.05 |       0.07 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     139426 |     157468 |     143089 |     150235
    num cache misses                 |        448 |        492 |        465 |        504
    miss rate                        |      0.32% |      0.31% |      0.32% |      0.34%
    mpki                             |       1.95 |       1.89 |       1.97 |       2.03
  Cache L2                           |            |            |            |           
    num cache accesses               |        481 |        520 |        505 |        543
    num cache misses                 |          5 |          4 |         20 |          6
    miss rate                        |      1.04% |      0.77% |      3.96% |      1.10%
    mpki                             |       0.02 |       0.02 |       0.08 |       0.02
  Cache L3                           |            |            |            |           
    num cache accesses               |          6 |          6 |         23 |          7
    num cache misses                 |          5 |          4 |         20 |          6
    miss rate                        |     83.33% |     66.67% |     86.96% |     85.71%
    mpki                             |       0.02 |       0.02 |       0.08 |       0.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |         34 |          0 |          0 |          0
  average dram access latency (ns)   |      95.29 |        inf |        inf |        inf
  average dram queueing delay        |      41.86 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          1 |          2 |          6 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
