                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     445220 |     441226 |     431218 |     382166 |     433232 |     318103 |     367154 |     423241
  Cycles                             |     506446 |     506446 |     506446 |     506446 |     506446 |     506446 |     506446 |     506446
  IPC                                |       0.88 |       0.87 |       0.85 |       0.75 |       0.86 |       0.63 |       0.72 |       0.84
  Time (ns)                          |     190393 |     190393 |     190393 |     190393 |     190393 |     190393 |     190393 |     190393
  Idle time (ns)                     |     100194 |     100956 |     102736 |     112622 |     101816 |     125047 |     116076 |     103582
  Idle time (%)                      |      52.6% |      53.0% |      54.0% |      59.2% |      53.5% |      65.7% |      61.0% |      54.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      79770 |      78960 |      76950 |      67148 |      77366 |      54330 |      64143 |      75368
  num incorrect                      |         80 |         93 |         94 |         93 |         88 |         93 |         91 |         88
  misprediction rate                 |      0.10% |      0.12% |      0.12% |      0.14% |      0.11% |      0.17% |      0.14% |      0.12%
  mpki                               |       0.18 |       0.21 |       0.22 |       0.24 |       0.20 |       0.29 |       0.25 |       0.21
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      12018 |      12021 |      12029 |      12021 |      12021 |      12027 |      12027 |      12021
    num cache misses                 |         15 |         15 |         16 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.12% |      0.12% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.03 |       0.03 |       0.04 |       0.04 |       0.03 |       0.05 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     268556 |     266164 |     260139 |     230728 |     261367 |     192276 |     221703 |     255373
    num cache misses                 |       1016 |       1020 |        957 |        898 |       1002 |        759 |        851 |        974
    miss rate                        |      0.38% |      0.38% |      0.37% |      0.39% |      0.38% |      0.39% |      0.38% |      0.38%
    mpki                             |       2.28 |       2.31 |       2.22 |       2.35 |       2.31 |       2.39 |       2.32 |       2.30
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1050 |       1053 |       1019 |        931 |       1052 |        806 |        906 |       1014
    num cache misses                 |        537 |        573 |        522 |        486 |        590 |        443 |        477 |        574
    miss rate                        |     51.14% |     54.42% |     51.23% |     52.20% |     56.08% |     54.96% |     52.65% |     56.61%
    mpki                             |       1.21 |       1.30 |       1.21 |       1.27 |       1.36 |       1.39 |       1.30 |       1.36
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |        545 |        586 |        555 |        499 |        623 |        461 |        506 |        593
    num cache misses                 |          9 |          3 |          9 |          3 |          3 |          5 |         12 |          9
    miss rate                        |      1.65% |      0.51% |      1.62% |      0.60% |      0.48% |      1.08% |      2.37% |      1.52%
    mpki                             |       0.02 |       0.01 |       0.02 |       0.01 |       0.01 |       0.02 |       0.03 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         47 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     115.15 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      61.72 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          2 |          3 |          2 |          2 |          2 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
