                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   76319210 |   75154359 |   73237444 |   71147354 |   73901172 |   63879098 |   61909196 |   78067269 |   56224478 |   68250480 |   75590862 |   67497757 |   75596804 |   71827102 |   74970244 |   73637865
  Cycles                             |   54325400 |   54325400 |   54325400 |   54325400 |   54325400 |   54325400 |   54325400 |   54325400 |   54325400 |   54325400 |   54325400 |   54325400 |   54325400 |   54325400 |   54325400 |   54325400
  IPC                                |       1.40 |       1.38 |       1.35 |       1.31 |       1.36 |       1.18 |       1.14 |       1.44 |       1.03 |       1.26 |       1.39 |       1.24 |       1.39 |       1.32 |       1.38 |       1.36
  Time (ns)                          |   20423083 |   20423083 |   20423083 |   20423083 |   20423083 |   20423083 |   20423083 |   20423083 |   20423083 |   20423083 |   20423083 |   20423083 |   20423083 |   20423083 |   20423083 |   20423083
  Idle time (ns)                     |     480103 |     857332 |    1330142 |    1800490 |    1140935 |    3588374 |    4105816 |     103113 |    4998916 |    1942213 |     102458 |    2130725 |     101762 |    1046258 |     245083 |     574625
  Idle time (%)                      |       2.4% |       4.2% |       6.5% |       8.8% |       5.6% |      17.6% |      20.1% |       0.5% |      24.5% |       9.5% |       0.5% |      10.4% |       0.5% |       5.1% |       1.2% |       2.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   15096117 |   14863152 |   14479769 |   14061751 |   14612503 |   12608099 |   12214107 |   15445734 |   11077169 |   13482372 |   14950441 |   13331823 |   14951642 |   14197689 |   14826317 |   14559849
  num incorrect                      |        132 |        135 |        135 |        135 |        140 |        136 |        140 |        135 |        136 |        135 |        140 |        138 |        133 |        140 |        140 |        135
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
