                                     | Core 0     | Core 1    
  Instructions                       |    5355969 |    8124704
  Cycles                             |    7109563 |    7109563
  IPC                                |       0.75 |       1.14
  Time (ns)                          |    2672768 |    2672768
  Idle time (ns)                     |     616137 |      96557
  Idle time (%)                      |      23.1% |       3.6%
Branch predictor stats               |            |           
  num correct                        |    1103402 |    1795611
  num incorrect                      |         91 |         73
  misprediction rate                 |      0.01% |      0.00%
  mpki                               |       0.02 |       0.01
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     212030 |     212030
    num cache misses                 |         16 |         15
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    2933012 |    4317386
    num cache misses                 |        947 |       1374
    miss rate                        |      0.03% |      0.03%
    mpki                             |       0.18 |       0.17
  Cache L2                           |            |           
    num cache accesses               |       1980 |       1977
    num cache misses                 |         24 |          4
    miss rate                        |      1.21% |      0.20%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         26 |          6
    num cache misses                 |         24 |          4
    miss rate                        |     92.31% |     66.67%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         28 |          0
  average dram access latency (ns)   |     120.08 |        inf
  average dram queueing delay        |      66.65 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          2
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
