                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    2336791 |    2263689 |    2151577 |    2112605 |    1843337 |    2323754 |    1999488 |    2275701
  Cycles                             |    1666325 |    1666325 |    1666325 |    1666325 |    1666325 |    1666325 |    1666325 |    1666325
  IPC                                |       1.40 |       1.36 |       1.29 |       1.27 |       1.11 |       1.39 |       1.20 |       1.37
  Time (ns)                          |     626438 |     626438 |     626438 |     626438 |     626438 |     626438 |     626438 |     626438
  Idle time (ns)                     |     100988 |     115560 |     139878 |     148041 |     199626 |     100308 |     166249 |     111877
  Idle time (%)                      |      16.1% |      18.4% |      22.3% |      23.6% |      31.9% |      16.0% |      26.5% |      17.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     550919 |     532656 |     504628 |     494870 |     427553 |     547673 |     466617 |     535659
  num incorrect                      |        284 |        283 |        283 |        288 |        288 |        281 |        271 |        283
  misprediction rate                 |      0.05% |      0.05% |      0.06% |      0.06% |      0.07% |      0.05% |      0.06% |      0.05%
  mpki                               |       0.12 |       0.13 |       0.13 |       0.14 |       0.16 |       0.12 |       0.14 |       0.12
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      32018 |      32012 |      32012 |      32022 |      32022 |      32010 |      32014 |      32012
    num cache misses                 |         16 |         16 |         16 |         17 |         17 |         15 |         16 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1198426 |    1161888 |    1105832 |    1086335 |     951701 |    1191920 |    1029787 |    1167894
    num cache misses                 |       3157 |       3079 |       2990 |       2863 |       2705 |       3444 |       2880 |       3305
    miss rate                        |      0.26% |      0.26% |      0.27% |      0.26% |      0.28% |      0.29% |      0.28% |      0.28%
    mpki                             |       1.35 |       1.36 |       1.39 |       1.36 |       1.47 |       1.48 |       1.44 |       1.45
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3990 |       3921 |       3733 |       3680 |       3390 |       4072 |       3595 |       3947
    num cache misses                 |        586 |        592 |        510 |        513 |        573 |        873 |        662 |        751
    miss rate                        |     14.69% |     15.10% |     13.66% |     13.94% |     16.90% |     21.44% |     18.41% |     19.03%
    mpki                             |       0.25 |       0.26 |       0.24 |       0.24 |       0.31 |       0.38 |       0.33 |       0.33
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1215 |       1204 |       1023 |       1017 |        958 |       1259 |       1116 |       1122
    num cache misses                 |         17 |          3 |          3 |         10 |          7 |          3 |          9 |          3
    miss rate                        |      1.40% |      0.25% |      0.29% |      0.98% |      0.73% |      0.24% |      0.81% |      0.27%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     125.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      71.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          2 |          2 |          3 |          3 |          2 |          5 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
