                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     671685 |     409347 |     533506 |     681630 |     589577 |     481447 |     404285 |     668707 |     665689 |     506478 |     646656 |     598629 |     574597 |     573525 |     554513 |     662671
  Cycles                             |     701386 |     701386 |     701386 |     701386 |     701386 |     701386 |     701386 |     701386 |     701386 |     701386 |     701386 |     701386 |     701386 |     701386 |     701386 |     701386
  IPC                                |       0.96 |       0.58 |       0.76 |       0.97 |       0.84 |       0.69 |       0.58 |       0.95 |       0.95 |       0.72 |       0.92 |       0.85 |       0.82 |       0.82 |       0.79 |       0.94
  Time (ns)                          |     263679 |     263679 |     263679 |     263679 |     263679 |     263679 |     263679 |     263679 |     263679 |     263679 |     263679 |     263679 |     263679 |     263679 |     263679 |     263679
  Idle time (ns)                     |     103079 |     167038 |     135637 |     101695 |     122375 |     148556 |     168545 |     105124 |     103708 |     142146 |     109520 |     118727 |     125915 |     127085 |     131364 |     105829
  Idle time (%)                      |      39.1% |      63.3% |      51.4% |      38.6% |      46.4% |      56.3% |      63.9% |      39.9% |      39.3% |      53.9% |      41.5% |      45.0% |      47.8% |      48.2% |      49.8% |      40.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     154988 |      89441 |     120460 |     157499 |     134485 |     107447 |      88207 |     154231 |     153493 |     113716 |     148755 |     136721 |     130717 |     130481 |     125729 |     152748
  num incorrect                      |        161 |        141 |        158 |        155 |        150 |        153 |        114 |        182 |        167 |        148 |        148 |        173 |        170 |        144 |        143 |        159
  misprediction rate                 |      0.10% |      0.16% |      0.13% |      0.10% |      0.11% |      0.14% |      0.13% |      0.12% |      0.11% |      0.13% |      0.10% |      0.13% |      0.13% |      0.11% |      0.11% |      0.10%
  mpki                               |       0.24 |       0.34 |       0.30 |       0.23 |       0.25 |       0.32 |       0.28 |       0.27 |       0.25 |       0.29 |       0.23 |       0.29 |       0.30 |       0.25 |       0.26 |       0.24
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14066 |      14052 |      14062 |      14054 |      14064 |      14053 |      14040 |      14076 |      14072 |      14054 |      14068 |      14074 |      14072 |      14056 |      14056 |      14068
    num cache misses                 |         16 |         17 |         17 |         15 |         17 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.11% |      0.12% |      0.12% |      0.11% |      0.12% |      0.11% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.04 |       0.03 |       0.02 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     343342 |     212194 |     274271 |     348341 |     302306 |     248223 |     209666 |     341868 |     340360 |     260763 |     330844 |     306829 |     294814 |     294282 |     284776 |     338852
    num cache misses                 |       1620 |        984 |       1290 |       1597 |       1434 |       1176 |        933 |       1589 |       1627 |       1229 |       1521 |       1485 |       1414 |       1343 |       1322 |       1564
    miss rate                        |      0.47% |      0.46% |      0.47% |      0.46% |      0.47% |      0.47% |      0.44% |      0.46% |      0.48% |      0.47% |      0.46% |      0.48% |      0.48% |      0.46% |      0.46% |      0.46%
    mpki                             |       2.41 |       2.40 |       2.42 |       2.34 |       2.43 |       2.44 |       2.31 |       2.38 |       2.44 |       2.43 |       2.35 |       2.48 |       2.46 |       2.34 |       2.38 |       2.36
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1781 |       1123 |       1441 |       1741 |       1607 |       1332 |       1075 |       1746 |       1779 |       1384 |       1674 |       1656 |       1548 |       1490 |       1481 |       1702
    num cache misses                 |       1636 |       1001 |       1307 |       1612 |       1451 |       1192 |        950 |       1606 |       1644 |       1246 |       1538 |       1502 |       1431 |       1360 |       1339 |       1581
    miss rate                        |     91.86% |     89.14% |     90.70% |     92.59% |     90.29% |     89.49% |     88.37% |     91.98% |     92.41% |     90.03% |     91.88% |     90.70% |     92.44% |     91.28% |     90.41% |     92.89%
    mpki                             |       2.44 |       2.45 |       2.45 |       2.36 |       2.46 |       2.48 |       2.35 |       2.40 |       2.47 |       2.46 |       2.38 |       2.51 |       2.49 |       2.37 |       2.41 |       2.39
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1781 |       1123 |       1441 |       1741 |       1607 |       1332 |       1075 |       1746 |       1779 |       1384 |       1674 |       1656 |       1548 |       1490 |       1481 |       1702
    num cache misses                 |        449 |        224 |        298 |        338 |        375 |        293 |        209 |        388 |        351 |        323 |        320 |        377 |        271 |        286 |        312 |        336
    miss rate                        |     25.21% |     19.95% |     20.68% |     19.41% |     23.34% |     22.00% |     19.44% |     22.22% |     19.73% |     23.34% |     19.12% |     22.77% |     17.51% |     19.19% |     21.07% |     19.74%
    mpki                             |       0.67 |       0.55 |       0.56 |       0.50 |       0.64 |       0.61 |       0.52 |       0.58 |       0.53 |       0.64 |       0.49 |       0.63 |       0.47 |       0.50 |       0.56 |       0.51
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         72 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     142.44 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      89.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
