                                     | Core 0     | Core 1    
  Instructions                       |     572203 |     560257
  Cycles                             |     679399 |     679399
  IPC                                |       0.84 |       0.82
  Time (ns)                          |     255413 |     255413
  Idle time (ns)                     |      97320 |      99156
  Idle time (%)                      |      38.1% |      38.8%
Branch predictor stats               |            |           
  num correct                        |     110226 |     107238
  num incorrect                      |         79 |         83
  misprediction rate                 |      0.07% |      0.08%
  mpki                               |       0.14 |       0.15
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      11016 |      11022
    num cache misses                 |         14 |         17
    miss rate                        |      0.13% |      0.15%
    mpki                             |       0.02 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     316631 |     310661
    num cache misses                 |        923 |        839
    miss rate                        |      0.29% |      0.27%
    mpki                             |       1.61 |       1.50
  Cache L2                           |            |           
    num cache accesses               |       1630 |       1634
    num cache misses                 |         15 |         15
    miss rate                        |      0.92% |      0.92%
    mpki                             |       0.03 |       0.03
  Cache L3                           |            |           
    num cache accesses               |         16 |         18
    num cache misses                 |         15 |         15
    miss rate                        |     93.75% |     83.33%
    mpki                             |       0.03 |       0.03
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      88.66 |        inf
  average dram queueing delay        |      35.23 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
