                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1146839 |    1411034 |    1165805 |    1332929
  Cycles                             |    1100064 |    1100064 |    1100064 |    1100064
  IPC                                |       1.04 |       1.28 |       1.06 |       1.21
  Time (ns)                          |     413558 |     413558 |     413558 |     413558
  Idle time (ns)                     |     146939 |      98051 |     143840 |     112452
  Idle time (%)                      |      35.5% |      23.7% |      34.8% |      27.2%
Branch predictor stats               |            |            |            |           
  num correct                        |     253880 |     319958 |     258642 |     300420
  num incorrect                      |         85 |         66 |         76 |         79
  misprediction rate                 |      0.03% |      0.02% |      0.03% |      0.03%
  mpki                               |       0.07 |       0.05 |       0.07 |       0.06
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      11018 |      11010 |      11012 |      11012
    num cache misses                 |         16 |         15 |         16 |         16
    miss rate                        |      0.15% |      0.14% |      0.15% |      0.15%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     603950 |     736056 |     613442 |     697004
    num cache misses                 |       1656 |       2090 |       1640 |       1855
    miss rate                        |      0.27% |      0.28% |      0.27% |      0.27%
    mpki                             |       1.44 |       1.48 |       1.41 |       1.39
  Cache L2                           |            |            |            |           
    num cache accesses               |       2440 |       2746 |       2410 |       2602
    num cache misses                 |         24 |          3 |          4 |          3
    miss rate                        |      0.98% |      0.11% |      0.17% |      0.12%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         26 |          5 |          6 |          5
    num cache misses                 |         24 |          3 |          4 |          3
    miss rate                        |     92.31% |     60.00% |     66.67% |     60.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         34 |          0 |          0 |          0
  average dram access latency (ns)   |     101.29 |        inf |        inf |        inf
  average dram queueing delay        |      47.86 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          2 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
