                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    2393016 |    2668329 |    2835309 |    2989581 |    2308969 |    2891553 |    3017636 |    2082745
  Cycles                             |    2006007 |    2006007 |    2006007 |    2006007 |    2006007 |    2006007 |    2006007 |    2006007
  IPC                                |       1.19 |       1.33 |       1.41 |       1.49 |       1.15 |       1.44 |       1.50 |       1.04
  Time (ns)                          |     754138 |     754138 |     754138 |     754138 |     754138 |     754138 |     754138 |     754138
  Idle time (ns)                     |     230660 |     174034 |     142412 |     114741 |     239352 |     122540 |     100264 |     286074
  Idle time (%)                      |      30.6% |      23.1% |      18.9% |      15.2% |      31.7% |      16.2% |      13.3% |      37.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     565427 |     634253 |     675995 |     714581 |     544413 |     690059 |     721593 |     487857
  num incorrect                      |         83 |         86 |         89 |         81 |         86 |         86 |         70 |         86
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.02%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.02 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      11020 |      11022 |      11022 |      11012 |      11022 |      11022 |      11018 |      11022
    num cache misses                 |         16 |         17 |         17 |         16 |         17 |         17 |         16 |         17
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1227035 |    1364697 |    1448187 |    1525334 |    1185017 |    1476309 |    1539348 |    1071905
    num cache misses                 |       2613 |       2906 |       3103 |       3176 |       2823 |       3567 |       3677 |       2411
    miss rate                        |      0.21% |      0.21% |      0.21% |      0.21% |      0.24% |      0.24% |      0.24% |      0.22%
    mpki                             |       1.09 |       1.09 |       1.09 |       1.06 |       1.22 |       1.23 |       1.22 |       1.16
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3428 |       3730 |       3888 |       3958 |       3558 |       4268 |       4225 |       3188
    num cache misses                 |        382 |        443 |        454 |        433 |        524 |        749 |        724 |        490
    miss rate                        |     11.14% |     11.88% |     11.68% |     10.94% |     14.73% |     17.55% |     17.14% |     15.37%
    mpki                             |       0.16 |       0.17 |       0.16 |       0.14 |       0.23 |       0.26 |       0.24 |       0.24
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |        840 |       1005 |        911 |        940 |        830 |       1128 |        956 |        781
    num cache misses                 |         21 |          4 |          4 |          3 |          3 |          4 |          7 |          4
    miss rate                        |      2.50% |      0.40% |      0.44% |      0.32% |      0.36% |      0.35% |      0.73% |      0.51%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     105.79 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      52.36 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          7 |          2 |          3 |          3 |          2 |          2 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
