                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     771496 |     758100 |     826536 |     818514 |     825595 |     779474 |     791572 |     692455 |     759461 |     655387 |     792555 |     726491 |     749515 |     747442 |     797562 |     727423
  Cycles                             |     781424 |     781424 |     781424 |     781424 |     781424 |     781424 |     781424 |     781424 |     781424 |     781424 |     781424 |     781424 |     781424 |     781424 |     781424 |     781424
  IPC                                |       0.99 |       0.97 |       1.06 |       1.05 |       1.06 |       1.00 |       1.01 |       0.89 |       0.97 |       0.84 |       1.01 |       0.93 |       0.96 |       0.96 |       1.02 |       0.93
  Time (ns)                          |     293769 |     293769 |     293769 |     293769 |     293769 |     293769 |     293769 |     293769 |     293769 |     293769 |     293769 |     293769 |     293769 |     293769 |     293769 |     293769
  Idle time (ns)                     |     114839 |     116873 |     102659 |     103161 |     102452 |     112831 |     110858 |     132930 |     119105 |     142717 |     111488 |     126906 |     120706 |     121211 |     110693 |     126821
  Idle time (%)                      |      39.1% |      39.8% |      34.9% |      35.1% |      34.9% |      38.4% |      37.7% |      45.2% |      40.5% |      48.6% |      38.0% |      43.2% |      41.1% |      41.3% |      37.7% |      43.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     180245 |     176893 |     194023 |     192012 |     193775 |     182252 |     185272 |     160482 |     177247 |     151232 |     185507 |     168991 |     174747 |     174244 |     186759 |     169239
  num incorrect                      |        134 |        136 |        126 |        133 |        131 |        133 |        127 |        138 |        135 |        131 |        138 |        138 |        138 |        133 |        138 |        133
  misprediction rate                 |      0.07% |      0.08% |      0.06% |      0.07% |      0.07% |      0.07% |      0.07% |      0.09% |      0.08% |      0.09% |      0.07% |      0.08% |      0.08% |      0.08% |      0.07% |      0.08%
  mpki                               |       0.17 |       0.18 |       0.15 |       0.16 |       0.16 |       0.17 |       0.16 |       0.20 |       0.18 |       0.20 |       0.17 |       0.19 |       0.18 |       0.18 |       0.17 |       0.18
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11018 |      11023 |      11010 |      11012 |      11022 |      11012 |      11022 |      11022 |      11013 |      11013 |      11022 |      11022 |      11022 |      11012 |      11022 |      11012
    num cache misses                 |         16 |         17 |         15 |         16 |         17 |         16 |         17 |         17 |         16 |         16 |         17 |         17 |         17 |         16 |         17 |         16
