                                     | Core 0    
  Instructions                       |    1383041
  Cycles                             |    3805350
  IPC                                |       0.36
  Time (ns)                          |    1430583
  Idle time (ns)                     |      96322
  Idle time (%)                      |       6.7%
Branch predictor stats               |           
  num correct                        |     110005
  num incorrect                      |          9
  misprediction rate                 |      0.01%
  mpki                               |       0.01
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     213016
    num cache misses                 |         16
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |     941049
    num cache misses                 |         13
    miss rate                        |      0.00%
    mpki                             |       0.01
  Cache L2                           |           
    num cache accesses               |         31
    num cache misses                 |         29
    miss rate                        |     93.55%
    mpki                             |       0.02
  Cache L3                           |           
    num cache accesses               |         31
    num cache misses                 |         29
    miss rate                        |     93.55%
    mpki                             |       0.02
DRAM summary                         |           
  num dram accesses                  |         28
  average dram access latency (ns)   |     105.22
  average dram queueing delay        |      51.79
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          9
  num loads from dram cache          |          0
  num loads from remote cache        |          0
