                                     | Core 0     | Core 1    
  Instructions                       |      97931 |      97511
  Cycles                             |     558713 |     558713
  IPC                                |       0.18 |       0.17
  Time (ns)                          |     210043 |     210043
  Idle time (ns)                     |     191309 |     191639
  Idle time (%)                      |      91.1% |      91.2%
Branch predictor stats               |            |           
  num correct                        |      10941 |      10910
  num incorrect                      |        212 |        200
  misprediction rate                 |      1.90% |      1.80%
  mpki                               |       2.16 |       2.05
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15502 |      15403
    num cache misses                 |         20 |         23
    miss rate                        |      0.13% |      0.15%
    mpki                             |       0.20 |       0.24
  Cache L1-D                         |            |           
    num cache accesses               |      50503 |      50355
    num cache misses                 |        269 |        239
    miss rate                        |      0.53% |      0.47%
    mpki                             |       2.75 |       2.45
  Cache L2                           |            |           
    num cache accesses               |        386 |        391
    num cache misses                 |         18 |         25
    miss rate                        |      4.66% |      6.39%
    mpki                             |       0.18 |       0.26
  Cache L3                           |            |           
    num cache accesses               |         19 |         28
    num cache misses                 |         18 |         25
    miss rate                        |     94.74% |     89.29%
    mpki                             |       0.18 |       0.26
DRAM summary                         |            |           
  num dram accesses                  |         39 |          0
  average dram access latency (ns)   |     124.40 |        inf
  average dram queueing delay        |      70.97 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          9
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
