                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     100484 |     100159 |      99482 |     100368 |     100471 |     100414 |     100036 |      99597
  Cycles                             |    1610076 |    1610076 |    1610076 |    1610076 |    1610076 |    1610076 |    1610076 |    1610076
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |     605292 |     605292 |     605292 |     605292 |     605292 |     605292 |     605292 |     605292
  Idle time (ns)                     |     573678 |     574463 |     576339 |     575270 |     574645 |     575078 |     574468 |     577303
  Idle time (%)                      |      94.8% |      94.9% |      95.2% |      95.0% |      94.9% |      95.0% |      94.9% |      95.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10907 |      10878 |      10900 |      10922 |      10921 |      10936 |      10869 |      10918
  num incorrect                      |        403 |        402 |        340 |        383 |        391 |        376 |        409 |        333
  misprediction rate                 |      3.56% |      3.56% |      3.02% |      3.39% |      3.46% |      3.32% |      3.63% |      2.96%
  mpki                               |       4.01 |       4.01 |       3.42 |       3.82 |       3.89 |       3.74 |       4.09 |       3.34
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      16179 |      16112 |      15916 |      16135 |      16164 |      16147 |      16071 |      15943
    num cache misses                 |         22 |         23 |         23 |         23 |         23 |         23 |         23 |         23
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.22 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      51052 |      50963 |      50803 |      51009 |      51035 |      51040 |      50947 |      50837
    num cache misses                 |        626 |        581 |        490 |        586 |        587 |        570 |        557 |        499
    miss rate                        |      1.23% |      1.14% |      0.96% |      1.15% |      1.15% |      1.12% |      1.09% |      0.98%
    mpki                             |       6.23 |       5.80 |       4.93 |       5.84 |       5.84 |       5.68 |       5.57 |       5.01
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |        744 |        729 |        602 |        708 |        749 |        731 |        731 |        642
    num cache misses                 |        327 |        296 |        274 |        287 |        269 |        254 |        277 |        232
    miss rate                        |     43.95% |     40.60% |     45.51% |     40.54% |     35.91% |     34.75% |     37.89% |     36.14%
    mpki                             |       3.25 |       2.96 |       2.75 |       2.86 |       2.68 |       2.53 |       2.77 |       2.33
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |        389 |        382 |        329 |        350 |        365 |        358 |        390 |        328
    num cache misses                 |         11 |         15 |          5 |         17 |         14 |          4 |          5 |          4
    miss rate                        |      2.83% |      3.93% |      1.52% |      4.86% |      3.84% |      1.12% |      1.28% |      1.22%
    mpki                             |       0.11 |       0.15 |       0.05 |       0.17 |       0.14 |       0.04 |       0.05 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         64 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     147.73 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      94.30 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          5 |          4 |          5 |          6 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
