                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     102100 |     101369 |     102134 |     101702 |     101703 |     101379 |     101874 |     101059 |     100232 |     100615 |     101764 |     101921 |     102083 |     101110 |     101208 |     101563
  Cycles                             |    3145232 |    3145232 |    3145232 |    3145232 |    3145232 |    3145232 |    3145232 |    3145232 |    3145232 |    3145232 |    3145232 |    3145232 |    3145232 |    3145232 |    3145232 |    3145232
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    1182418 |    1182418 |    1182418 |    1182418 |    1182418 |    1182418 |    1182418 |    1182418 |    1182418 |    1182418 |    1182418 |    1182418 |    1182418 |    1182418 |    1182418 |    1182418
  Idle time (ns)                     |    1135634 |    1138331 |    1136282 |    1136013 |    1136895 |    1135783 |    1137809 |    1136724 |    1141756 |    1140726 |    1137213 |    1135090 |    1134558 |    1138127 |    1138142 |    1136091
  Idle time (%)                      |      96.0% |      96.3% |      96.1% |      96.1% |      96.1% |      96.1% |      96.2% |      96.1% |      96.6% |      96.5% |      96.2% |      96.0% |      96.0% |      96.3% |      96.3% |      96.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10965 |      10934 |      10976 |      10941 |      10969 |      10944 |      11003 |      10945 |      10917 |      10935 |      10966 |      10978 |      10953 |      10979 |      10933 |      10900
  num incorrect                      |        452 |        430 |        444 |        443 |        424 |        419 |        404 |        398 |        368 |        375 |        433 |        430 |        469 |        370 |        418 |        470
  misprediction rate                 |      3.96% |      3.78% |      3.89% |      3.89% |      3.72% |      3.69% |      3.54% |      3.51% |      3.26% |      3.32% |      3.80% |      3.77% |      4.11% |      3.26% |      3.68% |      4.13%
  mpki                               |       4.43 |       4.24 |       4.35 |       4.36 |       4.17 |       4.13 |       3.97 |       3.94 |       3.67 |       3.73 |       4.25 |       4.22 |       4.59 |       3.66 |       4.13 |       4.63
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      16598 |      16420 |      16605 |      16510 |      16506 |      16421 |      16522 |      16338 |      16115 |      16240 |      16505 |      16549 |      16567 |      16347 |      16386 |      16475
    num cache misses                 |         22 |         22 |         23 |         22 |         23 |         22 |         22 |         22 |         23 |         22 |         23 |         23 |         21 |         23 |         22 |         22
    miss rate                        |      0.13% |      0.13% |      0.14% |      0.13% |      0.14% |      0.13% |      0.13% |      0.13% |      0.14% |      0.14% |      0.14% |      0.14% |      0.13% |      0.14% |      0.13% |      0.13%
    mpki                             |       0.22 |       0.22 |       0.23 |       0.22 |       0.23 |       0.22 |       0.22 |       0.22 |       0.23 |       0.22 |       0.23 |       0.23 |       0.21 |       0.23 |       0.22 |       0.22
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      51414 |      51234 |      51415 |      51306 |      51341 |      51228 |      51344 |      51160 |      50961 |      51070 |      51341 |      51375 |      51388 |      51185 |      51200 |      51258
    num cache misses                 |        948 |        869 |        907 |        903 |        885 |        883 |        880 |        881 |        733 |        758 |        866 |        982 |        938 |        873 |        831 |        869
    miss rate                        |      1.84% |      1.70% |      1.76% |      1.76% |      1.72% |      1.72% |      1.71% |      1.72% |      1.44% |      1.48% |      1.69% |      1.91% |      1.83% |      1.71% |      1.62% |      1.70%
    mpki                             |       9.29 |       8.57 |       8.88 |       8.88 |       8.70 |       8.71 |       8.64 |       8.72 |       7.31 |       7.53 |       8.51 |       9.63 |       9.19 |       8.63 |       8.21 |       8.56
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1252 |       1142 |       1170 |       1177 |       1172 |       1189 |       1151 |       1166 |        982 |       1008 |       1123 |       1328 |       1252 |       1171 |       1087 |       1142
    num cache misses                 |        970 |        891 |        930 |        925 |        908 |        905 |        902 |        903 |        756 |        780 |        889 |       1005 |        959 |        896 |        853 |        891
    miss rate                        |     77.48% |     78.02% |     79.49% |     78.59% |     77.47% |     76.11% |     78.37% |     77.44% |     76.99% |     77.38% |     79.16% |     75.68% |     76.60% |     76.52% |     78.47% |     78.02%
    mpki                             |       9.50 |       8.79 |       9.11 |       9.10 |       8.93 |       8.93 |       8.85 |       8.94 |       7.54 |       7.75 |       8.74 |       9.86 |       9.39 |       8.86 |       8.43 |       8.77
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1252 |       1142 |       1170 |       1177 |       1172 |       1189 |       1151 |       1166 |        982 |       1008 |       1123 |       1328 |       1252 |       1171 |       1087 |       1142
    num cache misses                 |        622 |        534 |        516 |        523 |        526 |        522 |        523 |        574 |        481 |        462 |        509 |        673 |        593 |        566 |        504 |        524
    miss rate                        |     49.68% |     46.76% |     44.10% |     44.44% |     44.88% |     43.90% |     45.44% |     49.23% |     48.98% |     45.83% |     45.33% |     50.68% |     47.36% |     48.33% |     46.37% |     45.88%
    mpki                             |       6.09 |       5.27 |       5.05 |       5.14 |       5.17 |       5.15 |       5.13 |       5.68 |       4.80 |       4.59 |       5.00 |       6.60 |       5.81 |       5.60 |       4.98 |       5.16
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         96 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     178.04 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     124.61 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          5 |          4 |          3 |          5 |          3 |          4 |          6 |          3 |          3 |          4 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        387 |        339 |        330 |        331 |        337 |        334 |        323 |        347 |        302 |        291 |        317 |        442 |        369 |        365 |        322 |        323
