                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     101265 |     117397 |     103102 |     116043
  Cycles                             |     495753 |     495753 |     495753 |     495753
  IPC                                |       0.20 |       0.24 |       0.21 |       0.23
  Time (ns)                          |     186373 |     186373 |     186373 |     186373
  Idle time (ns)                     |     105870 |      97382 |     106078 |      98722
  Idle time (%)                      |      56.8% |      52.3% |      56.9% |      53.0%
Branch predictor stats               |            |            |            |           
  num correct                        |       9607 |      12253 |       9919 |      12034
  num incorrect                      |        112 |        151 |        107 |        149
  misprediction rate                 |      1.15% |      1.22% |      1.07% |      1.22%
  mpki                               |       1.11 |       1.29 |       1.04 |       1.28
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      11018 |      11029 |      11021 |      11021
    num cache misses                 |         16 |         17 |         16 |         16
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.16 |       0.14 |       0.16 |       0.14
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      58163 |      66214 |      59083 |      65554
    num cache misses                 |       2764 |       2808 |       2749 |       2795
    miss rate                        |      4.75% |      4.24% |      4.65% |      4.26%
    mpki                             |      27.29 |      23.92 |      26.66 |      24.09
  Cache L2                           |            |            |            |           
    num cache accesses               |       2945 |       3020 |       2928 |       2956
    num cache misses                 |       2780 |       2826 |       2765 |       2813
    miss rate                        |     94.40% |     93.58% |     94.43% |     95.16%
    mpki                             |      27.45 |      24.07 |      26.82 |      24.24
  Cache L3                           |            |            |            |           
    num cache accesses               |       2945 |       3020 |       2928 |       2956
    num cache misses                 |         10 |         19 |          4 |          3
    miss rate                        |      0.34% |      0.63% |      0.14% |      0.10%
    mpki                             |       0.10 |       0.16 |       0.04 |       0.03
DRAM summary                         |            |            |            |           
  num dram accesses                  |         35 |          0 |          0 |          0
  average dram access latency (ns)   |     104.98 |        inf |        inf |        inf
  average dram queueing delay        |      51.55 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          7 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
