                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     247722 |     259894 |     246503 |     178378
  Cycles                             |     376319 |     376319 |     376319 |     376319
  IPC                                |       0.66 |       0.69 |       0.66 |       0.47
  Time (ns)                          |     141473 |     141473 |     141473 |     141473
  Idle time (ns)                     |      98858 |      97358 |      98772 |     109542
  Idle time (%)                      |      69.9% |      68.8% |      69.8% |      77.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      40182 |      42624 |      39923 |      26322
  num incorrect                      |        169 |        157 |        179 |        158
  misprediction rate                 |      0.42% |      0.37% |      0.45% |      0.60%
  mpki                               |       0.68 |       0.60 |       0.73 |       0.89
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      12018 |      12027 |      12031 |      12024
    num cache misses                 |         15 |         16 |         16 |         16
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.09
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     150059 |     157346 |     149307 |     108446
    num cache misses                 |       9846 |       9088 |       8921 |       6100
    miss rate                        |      6.56% |      5.78% |      5.97% |      5.62%
    mpki                             |      39.75 |      34.97 |      36.19 |      34.20
  Cache L2                           |            |            |            |           
    num cache accesses               |       9934 |       9208 |       9026 |       6188
    num cache misses                 |         16 |         10 |          9 |         11
    miss rate                        |      0.16% |      0.11% |      0.10% |      0.18%
    mpki                             |       0.06 |       0.04 |       0.04 |       0.06
  Cache L3                           |            |            |            |           
    num cache accesses               |         17 |         11 |         11 |         13
    num cache misses                 |         16 |         10 |          9 |         11
    miss rate                        |     94.12% |     90.91% |     81.82% |     84.62%
    mpki                             |       0.06 |       0.04 |       0.04 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |         34 |          0 |          0 |          0
  average dram access latency (ns)   |     144.54 |        inf |        inf |        inf
  average dram queueing delay        |      91.11 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          1 |          4 |          1
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
