                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     150116 |     147038 |     153794 |     154954
  Cycles                             |     421336 |     421336 |     421336 |     421336
  IPC                                |       0.36 |       0.35 |       0.37 |       0.37
  Time (ns)                          |     158397 |     158397 |     158397 |     158397
  Idle time (ns)                     |     106604 |     102178 |      98453 |      99767
  Idle time (%)                      |      67.3% |      64.5% |      62.2% |      63.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      20751 |      20128 |      21491 |      21718
  num incorrect                      |         79 |         94 |         76 |         85
  misprediction rate                 |      0.38% |      0.46% |      0.35% |      0.39%
  mpki                               |       0.53 |       0.64 |       0.49 |       0.55
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      12018 |      12013 |      12018 |      12014
    num cache misses                 |         15 |         15 |         15 |         15
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      91496 |      89666 |      93706 |      94414
    num cache misses                 |       1538 |       1471 |       1537 |       1509
    miss rate                        |      1.68% |      1.64% |      1.64% |      1.60%
    mpki                             |      10.25 |      10.00 |       9.99 |       9.74
  Cache L2                           |            |            |            |           
    num cache accesses               |       1666 |       1588 |       1607 |       1618
    num cache misses                 |       1553 |       1486 |       1552 |       1524
    miss rate                        |     93.22% |     93.58% |     96.58% |     94.19%
    mpki                             |      10.35 |      10.11 |      10.09 |       9.84
  Cache L3                           |            |            |            |           
    num cache accesses               |       1666 |       1588 |       1607 |       1618
    num cache misses                 |       1553 |       1486 |       1552 |       1524
    miss rate                        |     93.22% |     93.58% |     96.58% |     94.19%
    mpki                             |      10.35 |      10.11 |      10.09 |       9.84
DRAM summary                         |            |            |            |           
  num dram accesses                  |         79 |          0 |          0 |          0
  average dram access latency (ns)   |     118.19 |        inf |        inf |        inf
  average dram queueing delay        |      64.76 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          6 |          9 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |         89 |         72 |         43 |         67
