                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     188246 |     198705 |     210304 |     182777
  Cycles                             |     376692 |     376692 |     376692 |     376692
  IPC                                |       0.50 |       0.53 |       0.56 |       0.49
  Time (ns)                          |     141614 |     141614 |     141614 |     141614
  Idle time (ns)                     |     102212 |     100269 |      98465 |     102916
  Idle time (%)                      |      72.2% |      70.8% |      69.5% |      72.7%
Branch predictor stats               |            |            |            |           
  num correct                        |      34100 |      36712 |      39637 |      32736
  num incorrect                      |        212 |        218 |        195 |        214
  misprediction rate                 |      0.62% |      0.59% |      0.49% |      0.65%
  mpki                               |       1.13 |       1.10 |       0.93 |       1.17
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      14030 |      14041 |      14028 |      14032
    num cache misses                 |         16 |         17 |         15 |         16
    miss rate                        |      0.11% |      0.12% |      0.11% |      0.11%
    mpki                             |       0.08 |       0.09 |       0.07 |       0.09
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     101650 |     106886 |     112688 |      98924
    num cache misses                 |       2563 |       2412 |       2548 |       2201
    miss rate                        |      2.52% |      2.26% |      2.26% |      2.22%
    mpki                             |      13.62 |      12.14 |      12.12 |      12.04
  Cache L2                           |            |            |            |           
    num cache accesses               |       3240 |       3067 |       3093 |       2779
    num cache misses                 |         19 |         12 |          9 |         16
    miss rate                        |      0.59% |      0.39% |      0.29% |      0.58%
    mpki                             |       0.10 |       0.06 |       0.04 |       0.09
  Cache L3                           |            |            |            |           
    num cache accesses               |         20 |         14 |         11 |         19
    num cache misses                 |         19 |         12 |          9 |         16
    miss rate                        |     95.00% |     85.71% |     81.82% |     84.21%
    mpki                             |       0.10 |       0.06 |       0.04 |       0.09
DRAM summary                         |            |            |            |           
  num dram accesses                  |         35 |          0 |          0 |          0
  average dram access latency (ns)   |     110.98 |        inf |        inf |        inf
  average dram queueing delay        |      57.55 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
