                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     193555 |     163168 |     182118 |     144196
  Cycles                             |     529297 |     529297 |     529297 |     529297
  IPC                                |       0.37 |       0.31 |       0.34 |       0.27
  Time (ns)                          |     198984 |     198984 |     198984 |     198984
  Idle time (ns)                     |      97403 |     107609 |      98052 |     124739
  Idle time (%)                      |      49.0% |      54.1% |      49.3% |      62.7%
Branch predictor stats               |            |            |            |           
  num correct                        |      35687 |      28037 |      32785 |      23348
  num incorrect                      |        204 |        260 |        248 |        201
  misprediction rate                 |      0.57% |      0.92% |      0.75% |      0.85%
  mpki                               |       1.05 |       1.59 |       1.36 |       1.39
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      11024 |      11023 |      11028 |      11033
    num cache misses                 |         14 |         16 |         17 |         18
    miss rate                        |      0.13% |      0.15% |      0.15% |      0.16%
    mpki                             |       0.07 |       0.10 |       0.09 |       0.12
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     104807 |      89610 |      99085 |      80123
    num cache misses                 |       2212 |       2053 |       2286 |       1550
    miss rate                        |      2.11% |      2.29% |      2.31% |      1.93%
    mpki                             |      11.43 |      12.58 |      12.55 |      10.75
  Cache L2                           |            |            |            |           
    num cache accesses               |       2703 |       2671 |       2857 |       2254
    num cache misses                 |       2226 |       2069 |       2304 |       1570
    miss rate                        |     82.35% |     77.46% |     80.64% |     69.65%
    mpki                             |      11.50 |      12.68 |      12.65 |      10.89
  Cache L3                           |            |            |            |           
    num cache accesses               |       2703 |       2671 |       2857 |       2254
    num cache misses                 |         17 |         11 |         11 |         13
    miss rate                        |      0.63% |      0.41% |      0.39% |      0.58%
    mpki                             |       0.09 |       0.07 |       0.06 |       0.09
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |     144.89 |        inf |        inf |        inf
  average dram queueing delay        |      91.47 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          3 |          2 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
