                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     172477 |     162961 |     164948 |     154274
  Cycles                             |     432286 |     432286 |     432286 |     432286
  IPC                                |       0.40 |       0.38 |       0.38 |       0.36
  Time (ns)                          |     162514 |     162514 |     162514 |     162514
  Idle time (ns)                     |     103162 |      98427 |     100161 |     102244
  Idle time (%)                      |      63.5% |      60.6% |      61.6% |      62.9%
Branch predictor stats               |            |            |            |           
  num correct                        |      30512 |      28166 |      28681 |      25973
  num incorrect                      |        112 |         83 |         72 |        108
  misprediction rate                 |      0.37% |      0.29% |      0.25% |      0.41%
  mpki                               |       0.65 |       0.51 |       0.44 |       0.70
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      11020 |      11015 |      11015 |      11018
    num cache misses                 |         16 |         16 |         16 |         16
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.09 |       0.10 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      94269 |      89521 |      90512 |      85179
    num cache misses                 |        781 |        769 |        721 |        744
    miss rate                        |      0.83% |      0.86% |      0.80% |      0.87%
    mpki                             |       4.53 |       4.72 |       4.37 |       4.82
  Cache L2                           |            |            |            |           
    num cache accesses               |       1087 |        976 |        975 |       1028
    num cache misses                 |        797 |        785 |        737 |        760
    miss rate                        |     73.32% |     80.43% |     75.59% |     73.93%
    mpki                             |       4.62 |       4.82 |       4.47 |       4.93
  Cache L3                           |            |            |            |           
    num cache accesses               |       1087 |        976 |        975 |       1028
    num cache misses                 |        797 |        785 |        737 |        760
    miss rate                        |     73.32% |     80.43% |     75.59% |     73.93%
    mpki                             |       4.62 |       4.82 |       4.47 |       4.93
DRAM summary                         |            |            |            |           
  num dram accesses                  |       1167 |          0 |          0 |          0
  average dram access latency (ns)   |      58.44 |        inf |        inf |        inf
  average dram queueing delay        |       5.01 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        209 |        276 |        275 |        266
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |        388 |        367 |        319 |        312
