                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      98314 |      98196 |      97776 |      98187
  Cycles                             |     665841 |     665841 |     665841 |     665841
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |     250316 |     250316 |     250316 |     250316
  Idle time (ns)                     |     214448 |     216392 |     218083 |     217702
  Idle time (%)                      |      85.7% |      86.4% |      87.1% |      87.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      10890 |      10914 |      10880 |      10902
  num incorrect                      |        276 |        247 |        241 |        253
  misprediction rate                 |      2.47% |      2.21% |      2.17% |      2.27%
  mpki                               |       2.81 |       2.52 |       2.46 |       2.58
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15596 |      15547 |      15476 |      15573
    num cache misses                 |         23 |         23 |         23 |         23
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.23 |       0.23 |       0.24 |       0.23
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      50536 |      50494 |      50401 |      50505
    num cache misses                 |        556 |        522 |        476 |        473
    miss rate                        |      1.10% |      1.03% |      0.94% |      0.94%
    mpki                             |       5.66 |       5.32 |       4.87 |       4.82
  Cache L2                           |            |            |            |           
    num cache accesses               |        718 |        669 |        645 |        601
    num cache misses                 |        579 |        547 |        500 |        499
    miss rate                        |     80.64% |     81.76% |     77.52% |     83.03%
    mpki                             |       5.89 |       5.57 |       5.11 |       5.08
  Cache L3                           |            |            |            |           
    num cache accesses               |        718 |        669 |        645 |        601
    num cache misses                 |         30 |         14 |          8 |         13
    miss rate                        |      4.18% |      2.09% |      1.24% |      2.16%
    mpki                             |       0.31 |       0.14 |       0.08 |       0.13
DRAM summary                         |            |            |            |           
  num dram accesses                  |         45 |          0 |          0 |          0
  average dram access latency (ns)   |     104.72 |        inf |        inf |        inf
  average dram queueing delay        |      51.29 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |         10 |          7 |          3 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
